Name,House,Points,,
Alasteir Rickard,Yellow,5,Academic Achievement,A.Rickard@pemberlyhs.com.au
Alasteir Rickard,Yellow,25,Academic Achievement,A.Rickard@pemberlyhs.com.au
Ashleigh Northcote,Green,5,Academic Achievement,A.Northcote@pemberlyhs.com.au
Barbra Widger,Blue,10,Academic Achievement,B.Widger@pemberlyhs.com.au
Barbra Widger,Blue,15,Academic Excellence,B.Widger@pemberlyhs.com.au
Barbra Widger,Blue,20,Academic Achievement,B.Widger@pemberlyhs.com.au
Bendicty Gittins,Green,10,Academic Achievement,B.Gittins@pemberlyhs.com.au
Bennie Valente,Blue,15,Academic Achievement,B.Valente@pemberlyhs.com.au
Carmen Neeson,Yellow,10,Academic Achievement,C.Neeson@pemberlyhs.com.au
Clifford Bann,Yelow,15,Academic Achievement,
Corabelle Codrington,Red,15,Academic Achievement,C.Codrington@pemberlyhs.com.au
Corabelle Codrington,Red,10,Academic Achievement,C.Codrington@pemberlyhs.com.au
Corabelle Codrington,Redd,20,Academic Achievement,C.Codrington@pemberlyhs.com.au
Crystie Clarson,Blue,5,Academic Achievement,C.Clarson@pemberlyhs.com.au
Crystie Clarson,Blue,10,Academic Achievement,C.Clarson@pemberlyhs.com.au
Crystie Clarson,Blue,15,Academic Achievement,C.Clarson@pemberlyhs.com.au
Cynthy Lilly,Green,20,Academic Achievement,C.Lilly@pemberlyhs.com.au
Donia McGloin,Green,10,Academic Achievement,D.McGloin@pemberlyhs.com.au
Dyana Sainsberry,Blue,5,Academic Achievement,D.Sainsberry@pemberlyhs.com.au
Dyana Sainsberry,Blue,15,Academic Achievement,D.Sainsberry@pemberlyhs.com.au
Elliott Falks,Red,25,Academic Achievement,E.Falks@pemberlyhs.com.au
Euell Worsham,Red,10,Academic Achievement,E.Worsham@pemberlyhs.com.au
Fidelia Sappy,Yellow,15,Academic Achievement,F.Sappy@pemberly.com.au
Garland Wisdom,Yellow,5,Academic Achievement,G.Wisdom@pemberly.com.au
Garland Wisdom,Yellow,10,Academic Achievement,G.Wisdom@pemberlyhs.com.au
Gideon Winspeare,Blue,25,Academic Achievement,G.Winspeare@pemberlyhs.com.au
Gillie Cookson,Blue,20,Academic Achievement,G.Cookson@pemberlyhs.com.au
Gillie Cookson,Blue,10,Academic Achievement,G.Cookson@pemberlyhs.com.au
Giorgia MacGillespie,Blue,20,Academic Achievement,G.MacGillespie@pemberlyhs.com.au
Giustina Meaker,Red,10,Academic Achievement,G.Meaker@pemberlyhs.com.au
Giustina Meaker,Red,20,Academic Achievement,G.Meaker@pemberlyhs.com.au
Goddard Derell,Blue,2,Academic Achievement,G.Derell@pemberlyhs.com.au
Goddard Derell,Blue,15,Academic Achievement,G.Derell@pemberlyhs.com.au
Goddard Derell,Blue,20,Academic Achievement,G.Derell@pemberlyhs.com.au
Jackquelin Costall,Red,5,Academic Achievement,J.Costall@pemberlysc.com.au
Jacquelyn McRuvie,Blue,25,Academic Achievement,J.McRuvie@pemberlyhs.com.au
Jilli Hansie,Red,10,Academic Achievement,J.Hansie@pemberlyhs.com.au
Jilli Hansie,Red,10,Academic Achievement,J.Hansie@pemberlyhs.com.au
Ketty O'Keevan,Green,15,Academic Achievement,K.O'Keevan@pemberlyhs.com.au
Ketty O'Keevan,Green,10,Academic Achievement,K.O'Keevan@pemberlyhs.com.au
Lilia Willcox,Blue,20,Academic Achievement,L.Willcox@pemberlyhs.com.au
Lilia Willcox,Blue,15,Academic Achievement,L.Willcox@pemberlyhs.com.au
Lillis Whitely,Green,5,Academic Achievement,L.Whitely@pemberlyhs.com.au
Lillis Whitely,Green,10,Academic Achievement,L.Whitely@pemberlyhs.com.au
Lillis Whitely,Green,20,Academic Achievement,L.Whitely@pemberlyhs.com.au
Linus Robarts,Green,10,Academic Achievement,L.Robarts@pemberlyhs.com.au
Linus Robarts,Green,10,Academic Achievement,L.Robarts@pemberlyhs.com.au
Linus Robarts,Green,10,Academic Achievement,L.Robarts@pemberlyhs.com.au
Lorain Merchant,Yellow,10,Academic Achievement,L.Merchant@pemberlyhs.com.au
Lorain Merchant,Yellow,15,Academic Achievement,L.Merchant@pemberlyhs.com.au
Lorelle McCullogh,Red,20,Academic Achievement,L.McCullogh@pemberlyhs.com.au
Lorelle McCullogh,Red,25,Academic Achievement,L.McCullogh@pemberlyhs.com.au
Lou Povall,Green,20,Academic Achievement,L.Povall@pemberlyhs.com.au
Lou Povall,Green,20,Academic Achievement,L.Povall@pemberlyhs.com.au
Mahmoud Dawdary,Green,5,Academic Achievement,M.Dawdary@pemberlyhs.com.au
Matthias Demschke,Red,10,Academic Achievement,M.Demschke@pemberlyhs.com.au
Matthias Demschke,Red,25,Academic Achievement,M.Demschke@pemberlyhs.com.au
Mercie Liverock,Green,10,Academic Achievement,M.Liverock@pemberlyhs.com.au
Merrili Keemar,Blue,10,Academic Achievement,M.Keemar@pemberlyhs.com.au
Merrili Keemar,Blue,25,Academic Achievement,M.Keemar@pemberlyhs.com.au
Mord Cannon,Blue,0,Academic Achievement,M.Cannon@pemberlyhs.com.au
Mord Cannon,Blue,20,Academic Achievement,M.Cannon@pemberlyhs.com.au
Myrna Vellacott,Red,20,Academic Achievement,M.Vellacott@pemberlyhs.com.au
Ollie Duinbleton,Red,20,Academic Achievement,O.Duinbleton@pemberlyhs.com.au
Oralie Rosettini,Yellow,20,Academic Achievement,O.Rosettini@pemberlyhs.com.au
Oralie Rosettini,Yellow,5,Academic Achievement,O.Rosettini@pemberlyhs.com.au
Orville Beautyman,Green,10,Academic Achievement,O.Beautyman@pemberlyhs.com.au
Orville Beautyman,Green,10,Academic Achievement,O.Beautyman@pemberlyhs.com.au
Orville Beautyman,Green,15,Academic Achievement,O.Beautyman@pemberlyhs.com.au
Orville Beautyman,Green,25,Academic Achievement,O.Beautyman@pemberlyhs.com.au
Palmer Abdie,Green,25,Academic Achievement,P.Abdie@pemberlyhs.com.au
Philis Carville,Red,20,Academic Achievement,P.Carville@pemberlyhs.com.au
